anio,ronda,nivel,zona,grupo,cantidad_tiras,equipos
2023.0,2da Fase,2,CENTRO,B,8,"CIUDAD DE BUENOS AIRES B, ESTRELLA DE BOEDO, HARRODS GATH Y CHAVES, JOSE HERNANDEZ B, MACABI, PEDRO ECHAGUE AMARILLO, PINOCHO BLANCO, UNIVERSIDAD DE BUENOS AIRES"
2023.0,1ra Fase,2,CENTRO,UNICO,6,"ALL BOYS BLANCO, APV, COMUNICACIONES, EL TALAR, FERROCARRIL OESTE B, PINOCHO BLANCO"
2023.0,1ra Fase,3,CENTRO,A,6,"FERROCARRIL OESTE C, IMPERIO NEGRO, RACING ANEXO, SAN LORENZO ROJO, UNIVERSIDAD DE BUENOS AIRES, VELEZ SARSFIELD AZUL"
2023.0,2da Fase,3,CENTRO,A,6,"FERROCARRIL OESTE C, IMPERIO NEGRO, ITALIANO B, NUEVA CHICAGO, VELEZ SARSFIELD AZUL, YUPANQUI"
2023.0,1ra Fase,3,CENTRO,B,6,"CIUDAD DE BUENOS AIRES B, COPELLO, GEBA, HARRODS GATH Y CHAVES, ITALIANO B, LIBRE"
2023.0,2da Fase,3,CENTRO,B,6,"ALL BOYS NEGRO, CIRCULO URQUIZA BLANCO, COLEGIALES NEGRO, DEPORTIVO CROVARA B, GEBA, PINOCHO VERDE"
2023.0,1ra Fase,3,CENTRO,C,6,"ARMENIA, CIRCULO URQUIZA BLANCO, JOSE HERNANDEZ B, NUEVA CHICAGO, PEDRO ECHAGUE AMARILLO, PINOCHO VERDE"
2023.0,1ra Fase,3,CENTRO,D,6,"ALL BOYS NEGRO, ARGENTINOS JUNIORS, CIRCULO URQUIZA AZUL, COLEGIALES NEGRO, ESTRELLA DE BOEDO, YUPANQUI"
2023.0,2da Fase,INTERCONFERENCIA,INTERCONFERENCIA,A,8,"ARGENTINO DE CASTELAR NORTE, BOCA JUNIORS AZUL, CLUB TRES DE FEBRERO BLANCO, FERROCARRIL OESTE A, GEVP BLANCO, MORON A, OBRAS NORTE, QUILMES A.C."
2023.0,2da Fase,INTERCONFERENCIA,INTERCONFERENCIA,B,8,"ESTUDIANTIL PORTEÑO A, G.E DE LOMAS DE ZAMORA A, INSTITUCION SARMIENTO VERDE, LANUS A, OBRAS CENTRO, PINOCHO, RIVER PLATE, SPORTIVO ESCOBAR"
2023.0,1ra Fase,1,NORTE,A,6,"CLUB SPORTIVO PILAR, CLUB TRES DE FEBRERO BLANCO, OBRAS NORTE, SAN FERNANDO AZUL, SOCIAL BECCAR, UNION FLORIDA"
